fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
790646,"Onions, yellow, raw",Vegetables and Vegetable Products,[],1.0 Onion,143.0000,0.5863,0.0214,12.3123,0.0001,54.3400,51.4800,2.7170,0.0004,0.0129,0.0002,-1.0000,-1.0000,0.0486,0.2603,1.1869,0.0014,-1.0000,0.0715,-1.0000,128.8430,0.0003
746771,"Oranges, raw, navels",Fruits and Fruit Juices,[],1.0 cup,165.0000,0.7095,0.0709,19.4700,0.0001,85.8000,77.5500,3.3000,0.0005,0.0177,0.0000,0.0007,0.2310,0.0379,0.2739,1.5015,0.0149,0.0001,0.2475,0.0001,143.0550,0.0002
746771,"Oranges, raw, navels",Fruits and Fruit Juices,[],1.0 each,140.0000,0.6020,0.0602,16.5200,0.0001,72.8000,65.8000,2.8000,0.0005,0.0150,0.0000,0.0006,0.1960,0.0322,0.2324,1.2740,0.0126,0.0001,0.2100,0.0001,121.3800,0.0002
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 cup,165.0000,0.7095,0.0709,19.4700,0.0001,-1.0000,-1.0000,3.3000,0.0005,0.0177,0.0000,0.0007,0.2310,0.0379,0.2739,1.5015,0.0149,0.0001,0.2475,0.0001,143.0550,0.0002
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 each,140.0000,0.6020,0.0602,16.5200,0.0001,-1.0000,-1.0000,2.8000,0.0005,0.0150,0.0000,0.0006,0.1960,0.0322,0.2324,1.2740,0.0126,0.0001,0.2100,0.0001,121.3800,0.0002
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 cup,154.0000,0.6622,0.0062,15.5540,0.0001,70.8400,64.6800,2.3100,0.0005,0.0123,0.0000,0.0012,0.2310,0.0339,0.1879,1.4014,0.0200,0.0000,0.4158,0.0000,135.9820,0.0004
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 fruit,147.0000,0.6321,0.0059,14.8470,0.0001,67.6200,61.7400,2.2050,0.0005,0.0118,0.0000,0.0012,0.2205,0.0323,0.1793,1.3377,0.0191,0.0000,0.3969,0.0000,129.8010,0.0003
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 fruit,161.0000,0.6923,0.0064,16.2610,0.0001,74.0600,67.6200,2.4150,0.0005,0.0129,0.0000,0.0013,0.2415,0.0354,0.1964,1.4651,0.0209,0.0000,0.4347,0.0000,142.1630,0.0004
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 fruit,173.0000,0.7439,0.0069,17.4730,0.0001,79.5800,72.6600,2.5950,0.0006,0.0138,0.0000,0.0014,0.2595,0.0381,0.2111,1.5743,0.0225,0.0000,0.4671,0.0000,152.7590,0.0004
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 fruit,225.0000,0.9675,0.0090,22.7250,0.0002,103.5000,94.5000,3.3750,0.0008,0.0180,0.0001,0.0018,0.3375,0.0495,0.2745,2.0475,0.0293,0.0001,0.6075,0.0001,198.6750,0.0005
